PC1,PC2
-14.164589100135299,-7.492091648506781
-14.05886073106616,-7.382251248220339
-13.971030243695862,-7.4865168335788885
-12.974334854771593,-7.227379475013516
-12.081740424964652,-6.833876867877594
-13.583666629063739,-7.15671228402867
-10.985703700410706,-6.538750479387005
-14.549520687524316,-7.648563218456049
-12.941078405848002,-6.694482687571201
-13.592536614850937,-7.3564206132969705
-12.610683297823705,-6.843801732063594
-13.61851359185744,-6.896565453906409
-13.60737448464072,-7.346342104090376
-12.215462457475974,-7.511166490472928
-12.56163026610829,-6.401873021821196
-12.303404193243805,-6.023225115790097
15.007220386678807,-2.398097265669624
30.925069847254605,0.3868624308334799
23.51892785393267,-2.392952575718769
19.753223491945665,-1.7290120511711118
13.414411667382193,-2.154214075345756
34.8992326810194,-2.8114187430735624
34.07525613470313,-1.3823935743132938
-3.6041247146165962,-4.94423559919686
34.44448107122305,-1.334867348717232
36.96369658128964,-1.4325405598036451
19.65091702178319,-1.8483950870065906
36.479391844345365,-0.19938135471296803
22.96281714619859,-2.2207860872030625
25.66513326426713,-3.445945184996531
38.35380023334446,0.44272839785495066
3.3747466197010465,-3.59791176980763
-6.960305156314815,-4.061095706518473
-1.395391675776807,-0.4317383816494768
-4.394168484229682,-3.7461262176275425
-3.8700450022454516,-2.066312376869085
-6.351468912010449,-3.917246194988106
-3.712652223620488,-2.0077947203997915
-2.2314521208910008,-0.5966474602455126
-4.323635128318412,-2.9242871343105525
-2.4893598530071097,-0.8709096431334687
-2.3950468994372724,-1.9922967797699571
-7.126964444121859,-2.2732695624902535
0.3714457720259328,0.8332018735027569
-5.5168522319842666,-3.8581298071340533
0.959192434986755,0.49394160919701663
4.920172585143221,3.140999887689407
-6.137931864845198,-3.150120355538329
-7.569563841749268,-3.8490535023965102
-12.602589792943563,21.18137723160105
-3.6339425409875674,15.734119091435176
-9.932718676077677,-1.4695376767653556
-11.56375091025839,8.720962625786479
-11.062073011409923,4.946234951271117
-3.6060187881324266,19.7203295829006
-12.351760557044399,2.8521600723812583
-2.09569912025229,29.71971870506
-5.845325906445606,13.748767335731692
-7.9604028799168445,12.499096334491782
-10.95802227968916,18.094063089107767
-10.871989097777272,4.565025816728137
-1.2985042783983132,15.159029044495988
-6.772642344266762,13.14965878544431
-7.284604216974808,-3.441540794858284
